calc_id,boundary_condition_NZ,boundary_condition_X,boundary_condition_Y,boundary_condition_NX,boundary_condition_NY,boundary_condition_Z,load_time,rock_young_constant,rock_alpha_constant,concrete_init_temp,concrete_cheat,concrete_dt,concrete_norm_coeff,concrete_young_constant,concrete_alpha_constant,concrete_strength_time,steel_init_temp,bentonite_init_temp,bentonite_cheat,bentonite_dt,bentonite_young_constant,bentonite_alpha_constant,rw_init_temp,rw_cheat,rw_dt,rw_young_constant,rw_alpha_constant,rw_norm_coeff
0,1686992187.5,6793242187.5,8865312500.0,8672695312.5,8026562500.0,2209492187.5,2.6926757812499997,61467578125.0,7.002734375e-06,16.5546875,1751.3671875,1.08234375,0.9322265625,9535156250.0,9.0029296875e-06,1503562.5,32.63671875,37.515625,1316.1328125,1.090234375,5044921875.0,7.139453125e-06,47.203125,812.8125,2.4796875,11628906250.0,4.080078125e-06,1.0958984375
1,1565273437.5,6793242187.5,8865312500.0,8672695312.5,8026562500.0,2209492187.5,2.6926757812499997,61467578125.0,7.002734375e-06,16.5546875,1751.3671875,1.08234375,0.9322265625,9535156250.0,9.0029296875e-06,1503562.5,32.63671875,37.515625,1316.1328125,1.090234375,5044921875.0,7.139453125e-06,47.203125,812.8125,2.4796875,11628906250.0,4.080078125e-06,1.0958984375
2,1686992187.5,7584257812.5,8865312500.0,8672695312.5,8026562500.0,2209492187.5,2.6926757812499997,61467578125.0,7.002734375e-06,16.5546875,1751.3671875,1.08234375,0.9322265625,9535156250.0,9.0029296875e-06,1503562.5,32.63671875,37.515625,1316.1328125,1.090234375,5044921875.0,7.139453125e-06,47.203125,812.8125,2.4796875,11628906250.0,4.080078125e-06,1.0958984375
3,1686992187.5,6793242187.5,7559062500.0,8672695312.5,8026562500.0,2209492187.5,2.6926757812499997,61467578125.0,7.002734375e-06,16.5546875,1751.3671875,1.08234375,0.9322265625,9535156250.0,9.0029296875e-06,1503562.5,32.63671875,37.515625,1316.1328125,1.090234375,5044921875.0,7.139453125e-06,47.203125,812.8125,2.4796875,11628906250.0,4.080078125e-06,1.0958984375
4,1686992187.5,6793242187.5,8865312500.0,6951445312.5,8026562500.0,2209492187.5,2.6926757812499997,61467578125.0,7.002734375e-06,16.5546875,1751.3671875,1.08234375,0.9322265625,9535156250.0,9.0029296875e-06,1503562.5,32.63671875,37.515625,1316.1328125,1.090234375,5044921875.0,7.139453125e-06,47.203125,812.8125,2.4796875,11628906250.0,4.080078125e-06,1.0958984375
5,1686992187.5,6793242187.5,8865312500.0,8672695312.5,8081562500.0,2209492187.5,2.6926757812499997,61467578125.0,7.002734375e-06,16.5546875,1751.3671875,1.08234375,0.9322265625,9535156250.0,9.0029296875e-06,1503562.5,32.63671875,37.515625,1316.1328125,1.090234375,5044921875.0,7.139453125e-06,47.203125,812.8125,2.4796875,11628906250.0,4.080078125e-06,1.0958984375
6,1686992187.5,6793242187.5,8865312500.0,8672695312.5,8026562500.0,1970507812.5,2.6926757812499997,61467578125.0,7.002734375e-06,16.5546875,1751.3671875,1.08234375,0.9322265625,9535156250.0,9.0029296875e-06,1503562.5,32.63671875,37.515625,1316.1328125,1.090234375,5044921875.0,7.139453125e-06,47.203125,812.8125,2.4796875,11628906250.0,4.080078125e-06,1.0958984375
7,1686992187.5,6793242187.5,8865312500.0,8672695312.5,8026562500.0,2209492187.5,5.70099609375,61467578125.0,7.002734375e-06,16.5546875,1751.3671875,1.08234375,0.9322265625,9535156250.0,9.0029296875e-06,1503562.5,32.63671875,37.515625,1316.1328125,1.090234375,5044921875.0,7.139453125e-06,47.203125,812.8125,2.4796875,11628906250.0,4.080078125e-06,1.0958984375
8,1686992187.5,6793242187.5,8865312500.0,8672695312.5,8026562500.0,2209492187.5,2.6926757812499997,58734765625.0,7.002734375e-06,16.5546875,1751.3671875,1.08234375,0.9322265625,9535156250.0,9.0029296875e-06,1503562.5,32.63671875,37.515625,1316.1328125,1.090234375,5044921875.0,7.139453125e-06,47.203125,812.8125,2.4796875,11628906250.0,4.080078125e-06,1.0958984375
9,1686992187.5,6793242187.5,8865312500.0,8672695312.5,8026562500.0,2209492187.5,2.6926757812499997,61467578125.0,7.976171874999999e-06,16.5546875,1751.3671875,1.08234375,0.9322265625,9535156250.0,9.0029296875e-06,1503562.5,32.63671875,37.515625,1316.1328125,1.090234375,5044921875.0,7.139453125e-06,47.203125,812.8125,2.4796875,11628906250.0,4.080078125e-06,1.0958984375
